tract,Name,Household_Income_rP_gP_p25
24510160802,"Edmondson, Baltimore, MD",21336
24510151200,"Park Circle, Baltimore, MD",21236
24510250207,"Cherry Hill, Baltimore, MD",21215
24510260403,"Cedonia, Baltimore, MD",21064
24510120400,"Barclay, Baltimore, MD",21052
24510160500,"Bridgeview-Greenlawn, Baltimore, MD",20994
24510200100,"Lexington, Baltimore, MD",20987
24510260402,"Frankford, Baltimore, MD",20948
24510180200,"Poppleton, Baltimore, MD",20927
24510040200,"Downtown, Baltimore, MD",20917
24510250500,"Curtis Bay, Baltimore, MD",20852
24510110200,"Downtown, Baltimore, MD",20661
24510120500,"Greenmount West, Baltimore, MD",20606
24510160700,"Rosemont, Baltimore, MD",20579
24510090700,"Coldstream - Homestead - Montebello, Baltimore, MD",20574
24510260301,"Belair - Edison, Baltimore, MD",20561
24510160300,"Sandtown-Winchester, Baltimore, MD",20511
24510151300,"Central Park Heights, Baltimore, MD",20471
24005403202,"Gwynn Oak, Baltimore, MD",20432
24510120300,"Harwood, Baltimore, MD",20344
24510150200,"Sandtown-Winchester, Baltimore, MD",20264
24510271802,"Langston Hughes, Baltimore, MD",20225
24510271600,"Edgecomb, Baltimore, MD",20121
24510130200,"Reservoir Hill, Baltimore, MD",20100
24510080302,"Berea, Baltimore, MD",20068
24510080600,"Broadway East, Baltimore, MD",20014
24510160100,"Harlem Park, Baltimore, MD",20000
24510260604,"O'Donnell Heights, Baltimore, MD",19950
24510190300,"Mount Clare, Baltimore, MD",19948
24510200600,"Baltimore, MD",19900
24510030100,"Perkins Homes, Baltimore, MD",19841
24510190200,"Pratt Monroe, Baltimore, MD",19811
24510060300,"Butchers Hill, Baltimore, MD",19777
24510250600,"Brooklyn, Baltimore, MD",19736
24510160400,"Midtown Edmondson, Baltimore, MD",19728
24510170200,"McCulloh Homes, Baltimore, MD",19719
24510170300,"Upton, Baltimore, MD",19699
24510200300,"Bentalou-Smallwood, Baltimore, MD",19697
24510080400,"Broadway East, Baltimore, MD",19679
